value,ci,ds_complete,technique,dsn
0.0078963840816375,"(0.0, 0.042811758059174976)",ds14_CopulaGAN_QI2_ep200_bs100.csv,Copula GAN,ds14
0.00045831179223,"(0.0, 0.00603860317422781)",ds68_CTGAN_QI0_ep100_bs100.csv,CTGAN,ds68
0.0024156902091634,"(0.0, 0.009849514198185475)",ds8_CTGAN_QI2_ep200_bs100.csv,CTGAN,ds8
0.0305610353965187,"(0.007532331837119353, 0.05358973895591815)",ds37_CTGAN_QI2_ep200_bs100.csv,CTGAN,ds37
0.0,"(0.0, 0.02605021789086048)",ds16_TVAE_QI2_ep200_bs50.csv,TVAE,ds16
0.0602166334717131,"(0.01675876577859782, 0.10367450116482838)",ds5_TVAE_QI0_ep200_bs50.csv,TVAE,ds5
0.0328047653498248,"(0.018160722958897164, 0.04744880774075248)",ds55_CopulaGAN_QI0_ep200_bs100.csv,Copula GAN,ds55
0.0338106239763329,"(0.01834889581889855, 0.04927235213376728)",ds55_CopulaGAN_QI0_ep100_bs100.csv,Copula GAN,ds55
0.0009693301581173,"(0.0, 0.004805252998478572)",ds55_TVAE_QI1_ep100_bs50.csv,TVAE,ds55
0.0,"(0.0, 0.005847788581573396)",ds38_CopulaGAN_QI1_ep100_bs50.csv,Copula GAN,ds38
0.0108742500446362,"(0.0, 0.09240426693452963)",ds59_CTGAN_QI1_ep100_bs50.csv,CTGAN,ds59
0.0045999837366252,"(0.0, 0.011743487365527668)",ds68_TVAE_QI0_ep200_bs50.csv,TVAE,ds68
0.0,"(0.0, 0.0045429459929252755)",ds56_TVAE_QI1_ep200_bs100.csv,TVAE,ds56
0.123408385245021,"(0.08117950624417578, 0.16563726424586636)",ds5_CTGAN_QI0_ep100_bs100.csv,CTGAN,ds5
0.0010288904946051,"(0.0, 0.016778678069281183)",ds37_TVAE_QI0_ep200_bs50.csv,TVAE,ds37
0.3625399149344855,"(0.31680744367261615, 0.408272386196355)",ds32_TVAE_QI2_ep200_bs50.csv,TVAE,ds32
0.0061924570482163,"(0.0, 0.023225722296419928)",ds37_CopulaGAN_QI0_ep100_bs100.csv,Copula GAN,ds37
0.0,"(0.0, 0.01230262266964531)",ds59_CTGAN_QI2_ep200_bs100.csv,CTGAN,ds59
0.018802595837816,"(0.0, 0.0729384864280538)",ds10_CTGAN_QI2_ep200_bs50.csv,CTGAN,ds10
0.0,"(0.0, 0.032636292268136996)",ds4_CTGAN_QI1_ep100_bs50.csv,CTGAN,ds4
0.0,"(0.0, 0.06710130344985432)",ds10_TVAE_QI2_ep200_bs100.csv,TVAE,ds10
0.0249746721321492,"(0.01017659787851943, 0.03977274638577909)",ds55_CopulaGAN_QI0_ep200_bs50.csv,Copula GAN,ds55
